entity,entity_type,source,method,confidence,evidence
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Cục An toàn hệ thống các tổ chức tín dụng'
Bộ Tài chính,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Bộ Tài chính'
Trần Xuân Hà,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Trần Xuân Hà'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Cục An toàn hệ thống các tổ chức tín dụng'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
"Lao động, tiền lương, tiền công",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Lao động, tiền lương, tiền công'"
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Nguyễn Đồng Tiến,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Đồng Tiến'
"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,metadata_original,1.0,"metadata.csv: linh_vuc = 'Thanh tra, giám sát ngân hàng'"
Quốc hội,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
Vương Đình Huệ,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Vương Đình Huệ'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đoàn Thái Sơn,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đoàn Thái Sơn'
Cục An toàn hệ thống các tổ chức tín dụng,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Cục An toàn hệ thống các tổ chức tín dụng'
Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
Đào Minh Tú,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Đào Minh Tú'
Phát hành và kho quỹ,LinhVuc,metadata,metadata_original,1.0,metadata.csv: linh_vuc = 'Phát hành và kho quỹ'
Quốc hội,CoQuan,metadata,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
Nguyễn Phú Trọng,NguoiKy,metadata,metadata_original,1.0,metadata.csv: nguoi_ky = 'Nguyễn Phú Trọng'
Tổ chức tín dụng,DoiTuongApDung,content_clean,claude_llm,0.9,1. Tổ chức tín dụng.
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,claude_llm,0.85,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,claude_llm,0.85,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng",DoiTuongApDung,content_clean,claude_llm,0.8,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng;"
Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.9,a) Doanh nghiệp bảo hiểm;
Chi nhánh nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,b) Chi nhánh nước ngoài;
Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.8,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
Đại lý bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.8,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,claude_llm,0.85,"d) Các tổ chức, cá nhân khác có liên quan."
Bảo hiểm,LinhVuc,content_clean,claude_llm,0.9,"QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,claude_llm,0.9,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,claude_llm,0.9,2. Nhà máy in tiền Quốc gia.
"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
kiểm toán viên,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
kiểm toán viên hành nghề,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
doanh nghiệp kiểm toán,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
đơn vị được kiểm toán,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
tổ chức nghề nghiệp về kiểm toán,DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,claude_llm,0.8,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
Kiểm toán,LinhVuc,content_clean,claude_llm,0.9,"LUẬT
Kiểm toán độc lập"
Doanh nghiệp bảo hiểm phi nhân thọ,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Doanh nghiệp bảo hiểm nhân thọ,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Doanh nghiệp bảo hiểm sức khỏe,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Doanh nghiệp tái bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Đại lý bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Tổ chức tương hỗ cung cấp bảo hiểm vi mô,DoiTuongApDung,content_clean,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.8,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.8,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,claude_llm,0.8,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
Bên mua bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
Người được bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
Người thụ hưởng,DoiTuongApDung,content_clean,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.9,4. Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.9,5. Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,claude_llm,0.9,1. Ngân hàng hợp tác xã.
Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,claude_llm,0.9,2. Quỹ tín dụng nhân dân.
"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,claude_llm,0.9,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,claude_llm,0.9,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,claude_llm,0.9,c) Các đơn vị sự nghiệp công lập;
Các doanh nghiệp,DoiTuongApDung,content_clean,claude_llm,0.9,d) Các doanh nghiệp;
"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,content_clean,claude_llm,0.85,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
"Kế toán, kiểm toán",LinhVuc,content_clean,claude_llm,0.85,"NGHỊ ĐỊNH
Về kiểm toán nội bộ"
Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư,DoiTuongApDung,content_clean,claude_llm,0.9,a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư;
Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này,DoiTuongApDung,content_clean,claude_llm,0.85,2. Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
Tổ chức kinh tế có vốn đầu tư nước ngoài (thuộc đối tượng quy định tại Khoản 1 Điều 23 Luật Đầu tư),DoiTuongApDung,content_clean,claude_llm,0.8,4. Tổ chức kinh tế có vốn đầu tư nước ngoài (thuộc đối tượng quy định tại Khoản 1 Điều 23 Luật Đầu tư) không được thực hiện đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
Quản lý ngoại hối,LinhVuc,content_clean,claude_llm,0.5,"Nghị định này quy định chi tiết về hoạt động đầu tư ra nước ngoài dưới hình thức mua, bán chứng khoán, các giấy tờ có giá khác hoặc đầu tư thông qua các quỹ đầu tư chứng khoán, các định chế tài chính trung gian khác ở nước ngoài (sau đây gọi là đầu tư gián tiếp ra nước ngoài)."
"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
Công ty đại chúng,DoiTuongApDung,content_clean,claude_llm,0.9,a) Công ty đại chúng;
"Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng",DoiTuongApDung,content_clean,claude_llm,0.85,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
Tổ chức phát hành,DoiTuongApDung,content_clean,claude_llm,0.9,c) Tổ chức phát hành;
