entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168859,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173460,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173695,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,174218,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,177271,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,185630,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186482,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186888,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,27257,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,44209,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Ngân hàng Nhà nước Việt Nam'
COQ_004,CoQuan,Quốc hội,Quốc hội,166170,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
COQ_004,CoQuan,Quốc hội,Quốc hội,166269,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
COQ_004,CoQuan,Quốc hội,Quốc hội,25692,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
COQ_004,CoQuan,Quốc hội,Quốc hội,26750,metadata_original,1.0,metadata.csv: co_quan_ban_hanh = 'Quốc hội'
DOI_005,DoiTuongApDung,Bên mua bảo hiểm,Bên mua bảo hiểm,163441,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
DOI_006,DoiTuongApDung,"Bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,claude_llm,0.9,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
DOI_007,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,163441,claude_llm,0.8,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
DOI_008,DoiTuongApDung,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,163441,claude_llm,0.8,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
DOI_009,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,117310,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
DOI_009,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
DOI_009,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,173695,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
DOI_009,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,27257,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
DOI_009,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
DOI_010,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,claude_llm,0.9,b) Chi nhánh nước ngoài;
DOI_011,DoiTuongApDung,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,95652,claude_llm,0.9,b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
DOI_012,DoiTuongApDung,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán","Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán",f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.85,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
DOI_013,DoiTuongApDung,Công ty tài chính chuyên ngành,Công ty tài chính chuyên ngành,173460,claude_llm,0.9,2. Công ty tài chính chuyên ngành.
DOI_014,DoiTuongApDung,Công ty tài chính tổng hợp,Công ty tài chính tổng hợp,173460,claude_llm,0.9,1. Công ty tài chính tổng hợp.
DOI_015,DoiTuongApDung,Công ty đại chúng,Công ty đại chúng,f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.9,a) Công ty đại chúng;
DOI_016,DoiTuongApDung,Công ty đầu tư chứng khoán,Công ty đầu tư chứng khoán,112924,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
DOI_017,DoiTuongApDung,Cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này,95652,claude_llm,0.85,2. Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
DOI_018,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,claude_llm,0.9,4. Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
DOI_019,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài","Các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",112924,claude_llm,0.8,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
DOI_020,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã","Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",166269,claude_llm,0.85,"3. Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
DOI_021,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng","Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng",166170,claude_llm,0.8,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng;"
DOI_022,DoiTuongApDung,"Cổ đông, nhà đầu tư là tổ chức","Cổ đông, nhà đầu tư là tổ chức",f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.9,"i) Cổ đông, nhà đầu tư là tổ chức;"
DOI_023,DoiTuongApDung,Doanh nghiệp,Các doanh nghiệp,133858,claude_llm,0.9,d) Các doanh nghiệp;
DOI_024,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,claude_llm,0.9,a) Doanh nghiệp bảo hiểm;
DOI_025,DoiTuongApDung,Doanh nghiệp bảo hiểm nhân thọ,Doanh nghiệp bảo hiểm nhân thọ,163441,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_026,DoiTuongApDung,Doanh nghiệp bảo hiểm phi nhân thọ,Doanh nghiệp bảo hiểm phi nhân thọ,163441,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_027,DoiTuongApDung,Doanh nghiệp bảo hiểm sức khỏe,Doanh nghiệp bảo hiểm sức khỏe,163441,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_028,DoiTuongApDung,Doanh nghiệp không thuộc quy định tại khoản 1 Điều này,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,143217,claude_llm,0.6,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
DOI_029,DoiTuongApDung,Doanh nghiệp kinh doanh bảo hiểm,Doanh nghiệp kinh doanh bảo hiểm,112924,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
DOI_030,DoiTuongApDung,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,claude_llm,0.9,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
DOI_031,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_031,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,163441,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_032,DoiTuongApDung,"Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng","Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng",f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.85,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
DOI_033,DoiTuongApDung,Doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP,Các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP,143217,claude_llm,0.85,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
DOI_034,DoiTuongApDung,Doanh nghiệp tái bảo hiểm,Doanh nghiệp tái bảo hiểm,163441,claude_llm,0.85,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DOI_035,DoiTuongApDung,"Doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP","Các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP",150974,claude_llm,0.8,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
DOI_036,DoiTuongApDung,"Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài","Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",44209,claude_llm,0.85,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
DOI_037,DoiTuongApDung,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,claude_llm,0.9,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
DOI_038,DoiTuongApDung,Ngân hàng 100% vốn nước ngoài,Ngân hàng 100% vốn nước ngoài,117310,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
DOI_039,DoiTuongApDung,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,44209,claude_llm,0.85,1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).
DOI_040,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168220,claude_llm,0.9,1. Ngân hàng hợp tác xã.
DOI_040,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168859,claude_llm,0.9,1. Ngân hàng hợp tác xã.
DOI_041,DoiTuongApDung,Ngân hàng liên doanh,Ngân hàng liên doanh,117310,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
DOI_042,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,173695,claude_llm,0.9,a) Ngân hàng thương mại;
DOI_042,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,174218,claude_llm,0.9,a) Ngân hàng thương mại;
DOI_042,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,claude_llm,0.9,a) Ngân hàng thương mại;
DOI_043,DoiTuongApDung,Ngân hàng thương mại cổ phần,Ngân hàng thương mại cổ phần,117310,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
DOI_044,DoiTuongApDung,Ngân hàng thương mại nhà nước,Ngân hàng thương mại nhà nước,117310,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
DOI_045,DoiTuongApDung,"Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát","Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát",f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.85,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát;"
DOI_046,DoiTuongApDung,Người thụ hưởng,Người thụ hưởng,163441,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
DOI_047,DoiTuongApDung,Người được bảo hiểm,Người được bảo hiểm,163441,claude_llm,0.85,"3. Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
DOI_048,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,claude_llm,0.9,2. Nhà máy in tiền Quốc gia.
DOI_049,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168220,claude_llm,0.9,2. Quỹ tín dụng nhân dân.
DOI_049,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168859,claude_llm,0.9,2. Quỹ tín dụng nhân dân.
DOI_049,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,177271,claude_llm,0.9,2. Quỹ tín dụng nhân dân.
DOI_050,DoiTuongApDung,Quỹ đầu tư chứng khoán,Quỹ đầu tư chứng khoán,112924,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
DOI_051,DoiTuongApDung,Sở giao dịch chứng khoán Việt Nam và công ty con,Sở giao dịch chứng khoán Việt Nam và công ty con,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata_original,1.0,
DOI_052,DoiTuongApDung,"Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã","Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",166269,claude_llm,0.9,"2. Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
DOI_053,DoiTuongApDung,Tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này,Các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này,150974,claude_llm,0.75,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
DOI_054,DoiTuongApDung,Tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán,Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,claude_llm,0.85,m) Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán.
DOI_055,DoiTuongApDung,Tổ chức kinh doanh chứng khoán,Tổ chức kinh doanh chứng khoán,112924,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
