question_id,query_type,question,method,expected_chunk_id,gold_rank,gold_doc_rank,hit@1,hit@3,hit@5,rr,top1_chunk_id,error
Q006,EXACT_KEYWORD,156/2020/NĐ-CP Điều 16 quy định nội dung gì?,hybrid,146468_D16_052,1,1,1,1,1,1.0,146468_D16_052,
Q006,EXACT_KEYWORD,156/2020/NĐ-CP Điều 16 quy định nội dung gì?,hybrid_rerank,146468_D16_052,1,1,1,1,1,1.0,146468_D16_052,
Q007,EXACT_KEYWORD,46/2023/NĐ-CP Điều 101 quy định nội dung gì?,bm25,163441_D101_299,1,1,1,1,1,1.0,163441_D101_299,
Q007,EXACT_KEYWORD,46/2023/NĐ-CP Điều 101 quy định nội dung gì?,dense,163441_D101_299,0,1,0,0,0,0.0,163441_D6K1_029,
Q007,EXACT_KEYWORD,46/2023/NĐ-CP Điều 101 quy định nội dung gì?,hybrid,163441_D101_299,5,1,0,0,1,0.2,163441_D21K6_111,
Q007,EXACT_KEYWORD,46/2023/NĐ-CP Điều 101 quy định nội dung gì?,hybrid_rerank,163441_D101_299,1,1,1,1,1,1.0,163441_D101_299,
Q008,EXACT_KEYWORD,32/2024/QH15 Điều 100 quy định nội dung gì?,bm25,166170_D100_178,1,1,1,1,1,1.0,166170_D100_178,
Q008,EXACT_KEYWORD,32/2024/QH15 Điều 100 quy định nội dung gì?,dense,166170_D100_178,0,1,0,0,0,0.0,166170_D99_177,
Q008,EXACT_KEYWORD,32/2024/QH15 Điều 100 quy định nội dung gì?,hybrid,166170_D100_178,3,1,0,1,1,0.333333,166170_D99_177,
Q008,EXACT_KEYWORD,32/2024/QH15 Điều 100 quy định nội dung gì?,hybrid_rerank,166170_D100_178,1,1,1,1,1,1.0,166170_D100_178,
Q009,SEMANTIC,"Quy định về các hành vi bị cấm khi giải thể hợp tác xã, liên hiệp hợp tác xã được nêu ở đâu?",bm25,166269_D100_141,1,1,1,1,1,1.0,166269_D100_141,
Q009,SEMANTIC,"Quy định về các hành vi bị cấm khi giải thể hợp tác xã, liên hiệp hợp tác xã được nêu ở đâu?",dense,166269_D100_141,2,1,0,1,1,0.5,166269_D1_002,
Q009,SEMANTIC,"Quy định về các hành vi bị cấm khi giải thể hợp tác xã, liên hiệp hợp tác xã được nêu ở đâu?",hybrid,166269_D100_141,1,1,1,1,1,1.0,166269_D100_141,
Q009,SEMANTIC,"Quy định về các hành vi bị cấm khi giải thể hợp tác xã, liên hiệp hợp tác xã được nêu ở đâu?",hybrid_rerank,166269_D100_141,1,1,1,1,1,1.0,166269_D100_141,
Q010,SEMANTIC,Quy định về thay đổi vốn điều lệ được nêu ở đâu?,bm25,168220_D13_014,0,0,0,0,0,0.0,112025_D18K2_053,
Q010,SEMANTIC,Quy định về thay đổi vốn điều lệ được nêu ở đâu?,dense,168220_D13_014,0,0,0,0,0,0.0,163441_D7K2_037,
Q010,SEMANTIC,Quy định về thay đổi vốn điều lệ được nêu ở đâu?,hybrid,168220_D13_014,0,0,0,0,0,0.0,112025_D18K2_053,
Q010,SEMANTIC,Quy định về thay đổi vốn điều lệ được nêu ở đâu?,hybrid_rerank,168220_D13_014,0,0,0,0,0,0.0,112025_D18K2_053,
Q011,SEMANTIC,Quy định về góp vốn của thành viên được nêu ở đâu?,bm25,168859_D10_011,4,1,0,0,1,0.25,168859_D12K1_013,
Q011,SEMANTIC,Quy định về góp vốn của thành viên được nêu ở đâu?,dense,168859_D10_011,5,2,0,0,1,0.2,166170_D83_148,
Q011,SEMANTIC,Quy định về góp vốn của thành viên được nêu ở đâu?,hybrid,168859_D10_011,2,1,0,1,1,0.5,168859_D12K1_013,
Q011,SEMANTIC,Quy định về góp vốn của thành viên được nêu ở đâu?,hybrid_rerank,168859_D10_011,0,0,0,0,0,0.0,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793_D6K3_044,
Q012,SEMANTIC,"Quy định về thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN được nêu ở đâu?",bm25,169221_D2_034,1,1,1,1,1,1.0,169221_D2_034,
Q012,SEMANTIC,"Quy định về thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN được nêu ở đâu?",dense,169221_D2_034,1,1,1,1,1,1.0,169221_D2_034,
Q012,SEMANTIC,"Quy định về thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN được nêu ở đâu?",hybrid,169221_D2_034,1,1,1,1,1,1.0,169221_D2_034,
Q012,SEMANTIC,"Quy định về thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN được nêu ở đâu?",hybrid_rerank,169221_D2_034,1,1,1,1,1,1.0,169221_D2_034,
Q013,SEMANTIC,Quy định về hình thức pháp lý của tổ chức tín dụng phi ngân hàng được nêu ở đâu?,bm25,173460_D4_005,4,4,0,0,1,0.25,174218_D17K2p1_033,
Q013,SEMANTIC,Quy định về hình thức pháp lý của tổ chức tín dụng phi ngân hàng được nêu ở đâu?,dense,173460_D4_005,4,4,0,0,1,0.25,166170_D201_289,
Q013,SEMANTIC,Quy định về hình thức pháp lý của tổ chức tín dụng phi ngân hàng được nêu ở đâu?,hybrid,173460_D4_005,1,1,1,1,1,1.0,173460_D4_005,
Q013,SEMANTIC,Quy định về hình thức pháp lý của tổ chức tín dụng phi ngân hàng được nêu ở đâu?,hybrid_rerank,173460_D4_005,4,2,0,0,1,0.25,174218_D19K3_038,
Q014,SEMANTIC,Quy định về hồ sơ đề nghị chấp thuận sáp nhập được nêu ở đâu?,bm25,174218_D10_013,1,1,1,1,1,1.0,174218_D10_013,
Q014,SEMANTIC,Quy định về hồ sơ đề nghị chấp thuận sáp nhập được nêu ở đâu?,dense,174218_D10_013,2,1,0,1,1,0.5,174218_D13K3_022,
Q014,SEMANTIC,Quy định về hồ sơ đề nghị chấp thuận sáp nhập được nêu ở đâu?,hybrid,174218_D10_013,1,1,1,1,1,1.0,174218_D10_013,
Q014,SEMANTIC,Quy định về hồ sơ đề nghị chấp thuận sáp nhập được nêu ở đâu?,hybrid_rerank,174218_D10_013,3,1,0,1,1,0.333333,174218_D13K1_020,
Q015,SEMANTIC,Quy định về nguyên tắc cấp đổi Giấy phép được nêu ở đâu?,bm25,177271_D11_033,0,1,0,0,0,0.0,177271_D9K6_028,
Q015,SEMANTIC,Quy định về nguyên tắc cấp đổi Giấy phép được nêu ở đâu?,dense,177271_D11_033,3,1,0,1,1,0.333333,177271_D9K5_027,
Q015,SEMANTIC,Quy định về nguyên tắc cấp đổi Giấy phép được nêu ở đâu?,hybrid,177271_D11_033,0,1,0,0,0,0.0,177271_D9K6_028,
Q015,SEMANTIC,Quy định về nguyên tắc cấp đổi Giấy phép được nêu ở đâu?,hybrid_rerank,177271_D11_033,5,1,0,0,1,0.2,177271_D9K6_028,
Q016,SEMANTIC,Quy định về sửa đổi một số khoản của Điều 14 được nêu ở đâu?,bm25,185630_D11_019,0,0,0,0,0,0.0,163441_D14K6_079,
Q016,SEMANTIC,Quy định về sửa đổi một số khoản của Điều 14 được nêu ở đâu?,dense,185630_D11_019,0,0,0,0,0,0.0,112025_D14K6_043,
Q016,SEMANTIC,Quy định về sửa đổi một số khoản của Điều 14 được nêu ở đâu?,hybrid,185630_D11_019,0,0,0,0,0,0.0,112025_D14K6_043,
Q016,SEMANTIC,Quy định về sửa đổi một số khoản của Điều 14 được nêu ở đâu?,hybrid_rerank,185630_D11_019,0,0,0,0,0,0.0,186482_D31_037,
Q017,MIXED,"Theo 69/2025/TT-NHNN, sửa đổi, bổ sung điểm b, c khoản 1 Điều 48 được quy định thế nào?",bm25,186482_D10_002,1,1,1,1,1,1.0,186482_D10_002,
Q017,MIXED,"Theo 69/2025/TT-NHNN, sửa đổi, bổ sung điểm b, c khoản 1 Điều 48 được quy định thế nào?",dense,186482_D10_002,0,1,0,0,0,0.0,186482_D32_038,
Q017,MIXED,"Theo 69/2025/TT-NHNN, sửa đổi, bổ sung điểm b, c khoản 1 Điều 48 được quy định thế nào?",hybrid,186482_D10_002,0,1,0,0,0,0.0,186482_D28_034,
Q017,MIXED,"Theo 69/2025/TT-NHNN, sửa đổi, bổ sung điểm b, c khoản 1 Điều 48 được quy định thế nào?",hybrid_rerank,186482_D10_002,1,1,1,1,1,1.0,186482_D10_002,
Q018,MIXED,"Theo 62/2025/TT-NHNN, báo cáo Ngân hàng Nhà nước về hệ thống kiểm soát nội bộ được quy định thế nào?",bm25,186888_D10_029,5,1,0,0,1,0.2,186888_MD_001,
Q018,MIXED,"Theo 62/2025/TT-NHNN, báo cáo Ngân hàng Nhà nước về hệ thống kiểm soát nội bộ được quy định thế nào?",dense,186888_D10_029,0,1,0,0,0,0.0,186888_D9K2_020,
Q018,MIXED,"Theo 62/2025/TT-NHNN, báo cáo Ngân hàng Nhà nước về hệ thống kiểm soát nội bộ được quy định thế nào?",hybrid,186888_D10_029,0,1,0,0,0,0.0,186888_D9K2_020,
Q018,MIXED,"Theo 62/2025/TT-NHNN, báo cáo Ngân hàng Nhà nước về hệ thống kiểm soát nội bộ được quy định thế nào?",hybrid_rerank,186888_D10_029,1,1,1,1,1,1.0,186888_D10_029,
Q019,MIXED,"Theo 46/2010/QH12, công cụ thực hiện chính sách tiền tệ quốc gia được quy định thế nào?",bm25,25692_D10_036,1,1,1,1,1,1.0,25692_D10_036,
Q019,MIXED,"Theo 46/2010/QH12, công cụ thực hiện chính sách tiền tệ quốc gia được quy định thế nào?",dense,25692_D10_036,1,1,1,1,1,1.0,25692_D10_036,
Q019,MIXED,"Theo 46/2010/QH12, công cụ thực hiện chính sách tiền tệ quốc gia được quy định thế nào?",hybrid,25692_D10_036,1,1,1,1,1,1.0,25692_D10_036,
Q019,MIXED,"Theo 46/2010/QH12, công cụ thực hiện chính sách tiền tệ quốc gia được quy định thế nào?",hybrid_rerank,25692_D10_036,1,1,1,1,1,1.0,25692_D10_036,
Q020,MIXED,"Theo 67/2011/QH12, khuyến khích kiểm toán được quy định thế nào?",bm25,26750_D10_011,1,1,1,1,1,1.0,26750_D10_011,
Q020,MIXED,"Theo 67/2011/QH12, khuyến khích kiểm toán được quy định thế nào?",dense,26750_D10_011,1,1,1,1,1,1.0,26750_D10_011,
Q020,MIXED,"Theo 67/2011/QH12, khuyến khích kiểm toán được quy định thế nào?",hybrid,26750_D10_011,1,1,1,1,1,1.0,26750_D10_011,
Q020,MIXED,"Theo 67/2011/QH12, khuyến khích kiểm toán được quy định thế nào?",hybrid_rerank,26750_D10_011,1,1,1,1,1,1.0,26750_D10_011,
Q021,MIXED,"Theo 44/2011/TT-NHNN, tổ chức của kiểm toán nội bộ được quy định thế nào?",bm25,27257_D12_021,0,1,0,0,0,0.0,27257_D29_049,
Q021,MIXED,"Theo 44/2011/TT-NHNN, tổ chức của kiểm toán nội bộ được quy định thế nào?",dense,27257_D12_021,0,1,0,0,0,0.0,27257_D18K8_034,
Q021,MIXED,"Theo 44/2011/TT-NHNN, tổ chức của kiểm toán nội bộ được quy định thế nào?",hybrid,27257_D12_021,0,1,0,0,0,0.0,27257_D18K6_032,
Q021,MIXED,"Theo 44/2011/TT-NHNN, tổ chức của kiểm toán nội bộ được quy định thế nào?",hybrid_rerank,27257_D12_021,0,1,0,0,0,0.0,27257_D4K2_006,
Q022,MIXED,"Theo 202/2012/TT-BTC, điều chỉnh Giấy chứng nhận đăng ký hành nghề kiểm toán được quy định thế nào?",bm25,30402_D10_011,1,1,1,1,1,1.0,30402_D10_011,
Q022,MIXED,"Theo 202/2012/TT-BTC, điều chỉnh Giấy chứng nhận đăng ký hành nghề kiểm toán được quy định thế nào?",dense,30402_D10_011,0,1,0,0,0,0.0,30402_D1_002,
Q022,MIXED,"Theo 202/2012/TT-BTC, điều chỉnh Giấy chứng nhận đăng ký hành nghề kiểm toán được quy định thế nào?",hybrid,30402_D10_011,2,1,0,1,1,0.5,30402_D1_002,
Q022,MIXED,"Theo 202/2012/TT-BTC, điều chỉnh Giấy chứng nhận đăng ký hành nghề kiểm toán được quy định thế nào?",hybrid_rerank,30402_D10_011,1,1,1,1,1,1.0,30402_D10_011,
Q023,MIXED,"Theo 37/2014/TT-NHNN, hồ sơ trình duyệt mẫu in, đúc thử được quy định thế nào?",bm25,38128_D10_011,4,1,0,0,1,0.25,38128_D8_009,
Q023,MIXED,"Theo 37/2014/TT-NHNN, hồ sơ trình duyệt mẫu in, đúc thử được quy định thế nào?",dense,38128_D10_011,1,1,1,1,1,1.0,38128_D10_011,
Q023,MIXED,"Theo 37/2014/TT-NHNN, hồ sơ trình duyệt mẫu in, đúc thử được quy định thế nào?",hybrid,38128_D10_011,3,1,0,1,1,0.333333,38128_D8_009,
Q023,MIXED,"Theo 37/2014/TT-NHNN, hồ sơ trình duyệt mẫu in, đúc thử được quy định thế nào?",hybrid_rerank,38128_D10_011,4,1,0,0,1,0.25,38128_D8_009,
Q024,MIXED,"Theo 01/2014/TT-NHNN, thu, chi tiền mặt với khách hàng được quy định thế nào?",bm25,44209_D10_011,1,1,1,1,1,1.0,44209_D10_011,
Q024,MIXED,"Theo 01/2014/TT-NHNN, thu, chi tiền mặt với khách hàng được quy định thế nào?",dense,44209_D10_011,2,1,0,1,1,0.5,44209_D9_010,
Q024,MIXED,"Theo 01/2014/TT-NHNN, thu, chi tiền mặt với khách hàng được quy định thế nào?",hybrid,44209_D10_011,1,1,1,1,1,1.0,44209_D10_011,
Q024,MIXED,"Theo 01/2014/TT-NHNN, thu, chi tiền mặt với khách hàng được quy định thế nào?",hybrid_rerank,44209_D10_011,1,1,1,1,1,1.0,44209_D10_011,
